post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-06 21:38:10,0.22916666666666666,False
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 21:38:12,0.5,False
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-06 21:38:18,0.5217391304347826,False
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-06 21:38:34,0.2857142857142857,False
47651140,Ask HN: Where are all the disruptive software that AI promised?,worldnews,16,16,p-o,2026-04-06 21:38:34,0.9411764705882353,False
47653816,UK intelligence censored report on global warming and homeland security,worldnews,95,54,ewidar,2026-04-06 21:38:46,0.5625,False
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-06 21:38:48,0.07518796992481203,False
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,36,7,j0rg3,2026-04-06 21:38:51,0.1891891891891892,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 21:39:01,0.753731343283582,False
47648102,Every dependency you add is a supply chain attack waiting to happen,worldnews,8,0,birdculture,2026-04-06 21:39:03,0.0,False
47616157,Software never had a soul,worldnews,20,17,firloop,2026-04-06 21:39:16,0.8095238095238095,False
47650022,Banray.eu: Raising awareness of the terrible idea that is always-on AI glasses,worldnews,36,19,ChrisArchitect,2026-04-06 21:39:29,0.5135135135135135,False
47651502,The Therac-25 software radiation disaster,worldnews,7,2,bithavoc,2026-04-06 21:39:31,0.25,False
47633734,ENiGMA½ BBS Software,worldnews,10,1,NuSkooler,2026-04-06 21:39:36,0.09090909090909091,False
47657396,US-Iran war explained by Chinese AI animation: Legend of the Valley of Gold [video],worldnews,6,0,Eridanus2,2026-04-06 21:39:47,0.0,False
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,221,141,keepamovin,2026-04-06 21:39:54,0.6351351351351351,True
47637377,LÖVE: 2D Game Framework for Lua,sports,371,186,cl3misch,2026-04-06 21:39:58,0.5,True
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,219,143,pseudolus,2026-04-06 21:41:04,0.65,True
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-06 21:41:08,0.16,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-06 21:41:21,0.46675191815856776,True
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-06 21:41:26,0.9384615384615385,False
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 21:41:29,0.42857142857142855,False
47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6,1,bryantwolf,2026-04-06 21:41:40,0.14285714285714285,False
47642552,Nandgame – Build a Computer from Scratch,sports,8,0,Vortigaunt,2026-04-06 21:42:16,0.0,False
47651019,PS3 emulator makes Cell CPU breakthrough that improves performance in all games,sports,9,0,gloxkiqcza,2026-04-06 21:42:48,0.0,False
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-06 21:42:54,0.5384615384615384,False
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-06 21:43:16,0.0,False
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,76,28,simple10,2026-04-06 21:43:23,0.36363636363636365,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,107,50,salt4034,2026-04-06 21:43:53,0.46296296296296297,False
47650502,Computational Physics (2nd Edition) (2025),science,168,20,teleforce,2026-04-06 21:43:59,0.11834319526627218,False
47648404,My Google Workspace account suspension,science,359,213,zenincognito,2026-04-06 21:44:30,0.5916666666666667,True
47629485,A case study in testing with 100+ Claude agents in parallel,science,65,50,thejash,2026-04-06 21:44:46,0.7575757575757576,False
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-06 21:45:12,0.9444444444444444,False
47604155,SpaceX files to go public,science,398,576,nutjob2,2026-04-06 21:45:54,1.443609022556391,True
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],science,26,10,throw0101c,2026-04-06 21:46:16,0.37037037037037035,False
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,99,42,Bender,2026-04-06 21:46:44,0.42,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-06 21:47:06,0.14634146341463414,False
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 21:47:26,0.1111111111111111,False
47656678,"Musk asks SpaceX IPO banks to buy Grok AI subscriptions, NYT reports",science,10,0,1vuio0pswjnm7,2026-04-06 21:47:30,0.0,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,11,bookmtn,2026-04-06 21:47:44,0.7333333333333333,False
47660853,Book Review: There Is No Antimemetics Division,entertainment,62,39,ibobev,2026-04-06 21:48:24,0.6190476190476191,False
47652322,Music for Programming,entertainment,284,141,merusame,2026-04-06 21:48:32,0.49473684210526314,True
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,286,175,nevernothing,2026-04-06 21:48:35,0.6097560975609756,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,90,18,mohshomis,2026-04-06 21:48:38,0.1978021978021978,False
47658617,Show HN: I just built a MCP Server that connects Claude to all your wearables,entertainment,8,6,anton_salcher,2026-04-06 21:48:43,0.6666666666666666,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,76,9,lexalizer,2026-04-06 21:49:07,0.11688311688311688,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,168,28,laszlokorte,2026-04-06 21:49:09,0.16568047337278108,False
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,115,52,waveywaves,2026-04-06 21:49:11,0.4482758620689655,False
47645432,Introduction to Computer Music (2009) [pdf],entertainment,227,79,luu,2026-04-06 21:49:17,0.34649122807017546,True
47613118,Show HN: I built a small app for FSI German Course,entertainment,53,15,syedmsawaid,2026-04-06 21:49:20,0.2777777777777778,False
47656608,Show HN: Multi-agent coding assistant with a sandboxed Rust execution engine,entertainment,9,2,chrismeurer,2026-04-06 21:49:22,0.2,False
47653471,"Musician says AI company is cloning her music, filing claims against her",entertainment,115,19,lando2319,2026-04-06 21:49:27,0.16379310344827586,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,772,194,ramkarthikk,2026-04-06 21:49:36,0.25097024579560157,True
47624645,Show HN: Apfel – The free AI already on your Mac,entertainment,730,152,franze,2026-04-06 21:49:42,0.2079343365253078,True
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",entertainment,183,89,jrandolf,2026-04-06 21:49:43,0.483695652173913,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,157,18,kaipereira,2026-04-06 21:49:44,0.11392405063291139,False
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,entertainment,22,4,hudsongr,2026-04-06 21:49:47,0.17391304347826086,False
